Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9006024.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s146
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Galactocerebrosidase (GALCERase) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase) [Durusdinium trenchii],🟢 Confirmed,CAK9015120.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s1694
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Durusdinium trenchii],🟢 Confirmed,CAK9027950.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s209
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase BoGH2A (Beta-gal) (Glycosyl hydrolase family protein 2A) (BoGH2A) [Durusdinium trenchii],🟢 Confirmed,CAK9043337.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s2658
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9046595.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s2788
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9046593.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s2788
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Beta-D-galactoside galactohydrolase) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9046591.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s2788
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9046697.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s2790
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase BoGH2A (Beta-gal) (Glycosyl hydrolase family protein 2A) (BoGH2A) [Durusdinium trenchii],🟢 Confirmed,CAK9058991.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s3382
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9063735.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s3600
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Acid beta-galactosidase) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9065916.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s3707
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Galactocerebrosidase (GALCERase) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase) [Durusdinium trenchii],🟢 Confirmed,CAK9075023.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s423
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Galactocerebrosidase (GALCERase) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase) [Durusdinium trenchii],🟢 Confirmed,CAK9100602.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s728
Durusdinium trenchii,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase (Beta-gal) (Lactase) [Durusdinium trenchii],🟢 Confirmed,CAK9111531.1,Organism: Durusdinium trenchii | Db xref: taxon:1381693 | Note: contig: Dtrenchii_SCF082_s9159
Picochlorum sp. SENEW3,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Picochlorum sp. SENEW3],🟢 Confirmed,WPT13832.1,"Organism: Picochlorum sp. SENEW3 | Strain: SENEW3 | Isolation source: Poikilohaline permanent pond | Db xref: taxon:1470871 | Chromosome: 02 | Geo loc name: USA: California, San Diego County, San Elijo Lagoon | Lat lon: 33.007332 N 117.273052 W | Collection date: 2012-01-05"
Cymbomonas tetramitiformis,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3246988.1,Organism: Cymbomonas tetramitiformis | Isolate: PLY_AMNH | Isolation source: English Channel | Db xref: taxon:36881 | Geo loc name: United Kingdom: English Channel | Collection date: 1961-06-02
Thermoleptolyngbya oregonensis NK1-22,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Thermoleptolyngbya oregonensis NK1-22],🟢 Confirmed,WOB42210.1,"Organism: Thermoleptolyngbya oregonensis NK1-22 | Strain: NK1-22 | Isolation source: biofilm | Db xref: taxon:2547457 | Geo loc name: China: Yunan, Longling | Collection date: 2017-08-13"
Leptolyngbya boryana CZ1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana CZ1],🟢 Confirmed,WNZ45382.1,Organism: Leptolyngbya boryana CZ1 | Strain: CZ1 | Isolation source: BG11 | Db xref: taxon:3060204 | Lat lon: 29.41 N 118.17 E
Leptolyngbya boryana CZ1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana CZ1],🟢 Confirmed,WNZ44222.1,Organism: Leptolyngbya boryana CZ1 | Strain: CZ1 | Isolation source: BG11 | Db xref: taxon:3060204 | Lat lon: 29.41 N 118.17 E
Leptolyngbya sp. NK1-12,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Leptolyngbya sp. NK1-12],🟢 Confirmed,WNZ22604.1,"Organism: Leptolyngbya sp. NK1-12 | Strain: NK1-12 | Isolation source: biofilm | Db xref: taxon:2547451 | Chromosome: 1 | Geo loc name: China: Yunan, Tengchong | Collection date: 2017-08-12"
Skeletonema marinoi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Skeletonema marinoi],🟢 Confirmed,KAK1738285.1,Organism: Skeletonema marinoi | Strain: R05AC | Isolation source: ENVO:03000033 | Db xref: taxon:267567 | Geo loc name: Sweden: Oresund | Lat lon: 55.9878 N 12.7338 E | Collection date: 2010-05
Leptodesmis sichuanensis A121,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Leptodesmis sichuanensis A121],🟢 Confirmed,UIE35946.1,Organism: Leptodesmis sichuanensis A121 | Strain: A121 | Isolation source: Water | Type material: reference strain of Leptodesmis sichuanensis | Db xref: taxon:2835870 | Geo loc name: China: Ganzi Prefecture | Lat lon: 30.05 N 101.56 E | Collection date: 2016-05-15
Leptothermofonsia sichuanensis E412,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Leptothermofonsia sichuanensis E412],🟢 Confirmed,QZZ23691.1,Organism: Leptothermofonsia sichuanensis E412 | Strain: E412 | Isolation source: Water | Type material: reference strain of Leptothermofonsia sichuanensis | Db xref: taxon:2016068 | Geo loc name: China: Ganzi Prefecture | Lat lon: 29.25 N 101.18 E | Collection date: 2016-05-15
Leptothermofonsia sichuanensis E412,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptothermofonsia sichuanensis E412],🟢 Confirmed,QZZ23603.1,Organism: Leptothermofonsia sichuanensis E412 | Strain: E412 | Isolation source: Water | Type material: reference strain of Leptothermofonsia sichuanensis | Db xref: taxon:2016068 | Geo loc name: China: Ganzi Prefecture | Lat lon: 29.25 N 101.18 E | Collection date: 2016-05-15
Thermoleptolyngbya sichuanensis A183,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Thermoleptolyngbya sichuanensis A183],🟢 Confirmed,QKD80916.1,Organism: Thermoleptolyngbya sichuanensis A183 | Strain: A183 | Isolation source: Mat | Type material: reference strain of Thermoleptolyngbya sichuanensis | Db xref: taxon:2737172 | Geo loc name: China: Ganzi Prefecture | Lat lon: 30.05 N 101.56 E | Collection date: 2016-05-15 | Note: MKW assembly contig 3 no filtration
Calothrix sp. NIES-4101,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Calothrix sp. NIES-4101],🟢 Confirmed,BAZ39207.1,Organism: Calothrix sp. NIES-4101 | Strain: NIES-4101 | Culture collection: NIES:4101 | Db xref: taxon:2005461
Nostoc cf. commune SO-36,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc cf. commune SO-36],🟢 Confirmed,BDI20435.1,"Organism: Nostoc cf. commune SO-36 | Strain: SO-36 | Culture collection: NIES:3992 | Db xref: taxon:449208 | Geo loc name: Antarctica:Kuzira Misaki, Padda Island, Lutzow-Holm Bay | Collection date: 1988-09-15"
Nostoc cf. commune SO-36,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc cf. commune SO-36],🟢 Confirmed,BDI17637.1,"Organism: Nostoc cf. commune SO-36 | Strain: SO-36 | Culture collection: NIES:3992 | Db xref: taxon:449208 | Geo loc name: Antarctica:Kuzira Misaki, Padda Island, Lutzow-Holm Bay | Collection date: 1988-09-15"
Seminavis robusta,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Seminavis robusta],🟢 Confirmed,CAB9510556.1,Organism: Seminavis robusta | Strain: D6 | Db xref: taxon:568900 | Note: contig: Sro_contig441
Seminavis robusta,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Seminavis robusta],🟢 Confirmed,CAB9519929.1,Organism: Seminavis robusta | Strain: D6 | Db xref: taxon:568900 | Note: contig: Sro_contig1059
Seminavis robusta,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Seminavis robusta],🟢 Confirmed,CAB9527442.1,Organism: Seminavis robusta | Strain: D6 | Db xref: taxon:568900 | Note: contig: Sro_contig1997
Seminavis robusta,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Seminavis robusta],🟢 Confirmed,CAB9529490.1,Organism: Seminavis robusta | Strain: D6 | Db xref: taxon:568900 | Note: contig: Sro_contig2518
Seminavis robusta,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Seminavis robusta],🟢 Confirmed,CAB9530173.1,Organism: Seminavis robusta | Strain: D6 | Db xref: taxon:568900 | Note: contig: Sro_contig2771
Acaryochloris sp. CCMEE 5410,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Acaryochloris sp. CCMEE 5410],🟢 Confirmed,KAI9134518.1,Organism: Acaryochloris sp. CCMEE 5410 | Strain: CCMEE 5410 | Db xref: taxon:310037
Acaryochloris marina MBIC10699,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Acaryochloris marina MBIC10699],🟢 Confirmed,BDM82543.1,"Organism: Acaryochloris marina MBIC10699 | Strain: MBIC10699 | Culture collection: MBIC:10699, NBRC:102871 | Db xref: taxon:2954813"
Allocoleopsis franciscana PCC 7113,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Allocoleopsis franciscana PCC 7113],🟢 Confirmed,AFZ21961.1,"Organism: Allocoleopsis franciscana PCC 7113 | Strain: PCC 7113 | Isolation source: orchid house soil | Type material: reference strain of Allocoleopsis franciscana | Db xref: taxon:1173027 | Geo loc name: USA: San Francisco, CA | Lat lon: 37.774 N 122.419 W | Collection date: 1971"
Allocoleopsis franciscana PCC 7113,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Allocoleopsis franciscana PCC 7113],🟢 Confirmed,AFZ20849.1,"Organism: Allocoleopsis franciscana PCC 7113 | Strain: PCC 7113 | Isolation source: orchid house soil | Type material: reference strain of Allocoleopsis franciscana | Db xref: taxon:1173027 | Geo loc name: USA: San Francisco, CA | Lat lon: 37.774 N 122.419 W | Collection date: 1971"
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp. 'Peltigera membranacea cyanobiont' N6],🟢 Confirmed,WP_104900669.1,Organism: Nostoc sp. 'Peltigera membranacea cyanobiont' N6 | Db xref: taxon:1261031
Nostoc sp. 'Peltigera membranacea cyanobiont' 213,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp. 'Peltigera membranacea cyanobiont' 213],🟢 Confirmed,WP_094328052.1,Organism: Nostoc sp. 'Peltigera membranacea cyanobiont' 213 | Db xref: taxon:2014530
Chloropicon primus,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon primus],🟢 Confirmed,UPR03052.1,"Organism: Chloropicon primus | Strain: RCC138 | Isolation source: sea water | Db xref: taxon:1764295 | Chromosome: 11 | Geo loc name: Pacific Ocean:North Pacific | Collection date: 1992-01-01 | Collected by: Jacobson,D"
Chloropicon primus,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon primus],🟢 Confirmed,UPR01465.1,"Organism: Chloropicon primus | Strain: RCC138 | Isolation source: sea water | Db xref: taxon:1764295 | Chromosome: 7 | Geo loc name: Pacific Ocean:North Pacific | Collection date: 1992-01-01 | Collected by: Jacobson,D"
Chloropicon primus,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Chloropicon primus],🟢 Confirmed,UPQ98855.1,"Organism: Chloropicon primus | Strain: RCC138 | Isolation source: sea water | Db xref: taxon:1764295 | Chromosome: 3 | Geo loc name: Pacific Ocean:North Pacific | Collection date: 1992-01-01 | Collected by: Jacobson,D"
Fragilaria crotonensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Fragilaria crotonensis],🟢 Confirmed,KAI2511327.1,Organism: Fragilaria crotonensis | Strain: SAG 28.96 | Isolation source: Strain maintained in Steven Wilhelm's lab at the University of Tennessee | Db xref: taxon:210448 | Collection date: 2020-10
Fragilaria crotonensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Fragilaria crotonensis],🟢 Confirmed,KAI2511326.1,Organism: Fragilaria crotonensis | Strain: SAG 28.96 | Isolation source: Strain maintained in Steven Wilhelm's lab at the University of Tennessee | Db xref: taxon:210448 | Collection date: 2020-10
Fragilaria crotonensis,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Fragilaria crotonensis],🟢 Confirmed,KAI2500510.1,Organism: Fragilaria crotonensis | Strain: SAG 28.96 | Isolation source: Strain maintained in Steven Wilhelm's lab at the University of Tennessee | Db xref: taxon:210448 | Collection date: 2020-10
Microcoleus vaginatus HSN003,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Microcoleus vaginatus HSN003],🟢 Confirmed,UNU23550.1,"Organism: Microcoleus vaginatus HSN003 | Strain: HSN003 | Isolation source: Topsoil desert biocrust | Db xref: taxon:2303329 | Geo loc name: USA: Utah, Moab | Altitude: 1126 m | Collection date: Apr-2013"
Microcoleus vaginatus PCC 9802,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Microcoleus vaginatus PCC 9802],🟢 Confirmed,UNU21593.1,"Organism: Microcoleus vaginatus PCC 9802 | Strain: PCC 9802 | Isolation source: Topsoil desert biocrust | Db xref: taxon:669365 | Geo loc name: USA: Moab, Utah | Lat lon: 38.5733 N 109.55 W | Collection date: Apr-2013"
Leptolyngbya boryana IU 594,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana IU 594],🟢 Confirmed,ULP32635.1,Organism: Leptolyngbya boryana IU 594 | Strain: IU 594 | Isolation source: Freshwater | Db xref: taxon:462680
Leptolyngbya boryana IU 594,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana IU 594],🟢 Confirmed,ULP28047.1,Organism: Leptolyngbya boryana IU 594 | Strain: IU 594 | Isolation source: Freshwater | Db xref: taxon:462680
Acaryochloris sp. 'Moss Beach',beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Acaryochloris sp. 'Moss Beach'],🟢 Confirmed,UJB71456.1,"Organism: Acaryochloris sp. 'Moss Beach' | Strain: Moss Beach | Isolation source: intertidal zone | Db xref: taxon:2740837 | Geo loc name: USA: Moss Beach, CA | Lat lon: 37.520917 N 122.515472 W | Collection date: 2015-08-02 | Collected by: Nancy Kiang"
Nannochloris sp. 'desiccata',beta-galactosidase,3.2.1.23,lactose,putative Beta-galactosidase 8 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7621226.1,"Organism: Nannochloris sp. 'desiccata' | Strain: UTEX 2526 | Isolation source: microbial mat | Db xref: taxon:1650286 | Geo loc name: Mexico: Laguna Figueroa, Baja California | Lat lon: 30.644394 N 116.019040 W | Collection date: 1988"
Nannochloris sp. 'desiccata',beta-galactosidase,3.2.1.23,lactose,putative Beta-galactosidase 17 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7621224.1,"Organism: Nannochloris sp. 'desiccata' | Strain: UTEX 2526 | Isolation source: microbial mat | Db xref: taxon:1650286 | Geo loc name: Mexico: Laguna Figueroa, Baja California | Lat lon: 30.644394 N 116.019040 W | Collection date: 1988"
Nannochloris sp. 'desiccata',beta-galactosidase,3.2.1.23,lactose,putative Beta-galactosidase [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7618562.1,"Organism: Nannochloris sp. 'desiccata' | Strain: UTEX 2526 | Isolation source: microbial mat | Db xref: taxon:1650286 | Geo loc name: Mexico: Laguna Figueroa, Baja California | Lat lon: 30.644394 N 116.019040 W | Collection date: 1988"
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,probable beta-galactosidase [Coccomyxa sp. Obi],🟡 Probable/Hypothetical,BDA51062.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 17
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,probable beta-galactosidase [Coccomyxa sp. Obi],🟡 Probable/Hypothetical,BDA51061.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 17
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Coccomyxa sp. Obi],🟢 Confirmed,BDA49137.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 13
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Coccomyxa sp. Obi],🟢 Confirmed,BDA43898.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 5
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Coccomyxa sp. Obi],🟢 Confirmed,BDA42797.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 3
Coccomyxa sp. Obi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Coccomyxa sp. Obi],🟢 Confirmed,BDA40408.1,Organism: Coccomyxa sp. Obi | Db xref: taxon:2315456 | Chromosome: 1
Kovacikia minuta CCNUW1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Kovacikia minuta CCNUW1],🟢 Confirmed,UBF27517.1,Organism: Kovacikia minuta CCNUW1 | Strain: CCNU0001 | Isolation source: fresh water lake | Type material: reference strain of Kovacikia minuta | Db xref: taxon:2653194 | Geo loc name: China: Wuhan | Collection date: 2015-07
Kovacikia minuta CCNUW1,beta-galactosidase,3.2.1.23,lactose,beta-glucosidase [Kovacikia minuta CCNUW1],🟢 Confirmed,UBF25534.1,Organism: Kovacikia minuta CCNUW1 | Strain: CCNU0001 | Isolation source: fresh water lake | Type material: reference strain of Kovacikia minuta | Db xref: taxon:2653194 | Geo loc name: China: Wuhan | Collection date: 2015-07
Nostoc sp. MS1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp. MS1],🟢 Confirmed,BCL37726.1,Organism: Nostoc sp. MS1 | Strain: MS1 | Isolation source: river water | Culture collection: NIES:4466 | Db xref: taxon:2764711 | Geo loc name: Japan:Ibaraki | Collection date: 2015-11-12
Nostoc sp. MS1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp. MS1],🟢 Confirmed,BCL33699.1,Organism: Nostoc sp. MS1 | Strain: MS1 | Isolation source: river water | Culture collection: NIES:4466 | Db xref: taxon:2764711 | Geo loc name: Japan:Ibaraki | Collection date: 2015-11-12
Leptolyngbya sp. 7M,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. 7M],🟢 Confirmed,QYO64474.1,"Organism: Leptolyngbya sp. 7M | Strain: 7M | Isolation source: microbial mat 40 C - 54 C | Db xref: taxon:2812896 | Geo loc name: Costa Rica:Miravalles,thermal spring | Collection date: 2004"
Nitzschia inconspicua,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nitzschia inconspicua],🟢 Confirmed,KAG7369848.1,"Organism: Nitzschia inconspicua | Strain: hildebrandi | Isolation source: tidal stream | Db xref: taxon:303405 | Geo loc name: USA: stream near Lihue on the island of Kauai, Hawaii | Collection date: 2015-07 | Note: formerly called GAI293 and GAI-293"
Nitzschia inconspicua,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nitzschia inconspicua],🟢 Confirmed,KAG7364535.1,"Organism: Nitzschia inconspicua | Strain: hildebrandi | Isolation source: tidal stream | Db xref: taxon:303405 | Geo loc name: USA: stream near Lihue on the island of Kauai, Hawaii | Collection date: 2015-07 | Note: formerly called GAI293 and GAI-293"
Nitzschia inconspicua,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nitzschia inconspicua],🟢 Confirmed,KAG7359270.1,"Organism: Nitzschia inconspicua | Strain: hildebrandi | Isolation source: tidal stream | Db xref: taxon:303405 | Geo loc name: USA: stream near Lihue on the island of Kauai, Hawaii | Collection date: 2015-07 | Note: formerly called GAI293 and GAI-293"
Nitzschia inconspicua,beta-galactosidase,3.2.1.23,lactose,BGL: beta-galactosidase [Nitzschia inconspicua],🟢 Confirmed,KAG7359185.1,"Organism: Nitzschia inconspicua | Strain: hildebrandi | Isolation source: tidal stream | Db xref: taxon:303405 | Geo loc name: USA: stream near Lihue on the island of Kauai, Hawaii | Collection date: 2015-07 | Note: formerly called GAI293 and GAI-293"
Nitzschia inconspicua,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nitzschia inconspicua],🟢 Confirmed,KAG7355233.1,"Organism: Nitzschia inconspicua | Strain: hildebrandi | Isolation source: tidal stream | Db xref: taxon:303405 | Geo loc name: USA: stream near Lihue on the island of Kauai, Hawaii | Collection date: 2015-07 | Note: formerly called GAI293 and GAI-293"
